,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Landing Count,Total Landed Weight
0,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ2,30,1410000
1,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,125,17787978
2,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
3,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Passenger,Narrow Body,Boeing,B739,3,491700
4,Hong Kong Airlines Limited,HX,Hong Kong Airlines Limited,HX,International,Asia,Passenger,Wide Body,Airbus,A359,16,7301712
5,Finnair,AY,Finnair,AY,International,Europe,Passenger,Wide Body,Airbus,A333,9,3710376
6,WOW Air,WW,WOW Air,WW,International,Europe,Passenger,Wide Body,Airbus,A333,30,12235650
7,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B738,60,8778000
8,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B738,283,40901600
9,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,B773,29,16066000
10,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B763,27,8640000
11,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B788,29,11020000
12,Compass Airlines,CP,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,E175,138,10374564
13,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B773,118,65372000
14,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B739,282,44358600
15,Emirates,EK,Emirates,EK,International,Asia,Passenger,Wide Body,Airbus,A388,30,25860210
16,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B752,7,1386000
17,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Airbus,A388,30,25529520
18,Volaris Airlines,Y4,Volaris Airlines,Y4,International,Mexico,Passenger,Narrow Body,Airbus,A320,17,2479759
19,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B748,15,10230000
20,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,B789,53,22525000
21,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,55,8164180
22,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Airbus,A332,12,4761600
23,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B737,9,1162800
24,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B762,21,5712000
25,Finnair,AY,Finnair,AY,International,Europe,Passenger,Wide Body,Airbus,A359,1,456357
26,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B773,13,7202000
27,China Southern,CZ,China Southern,CZ,International,Asia,Passenger,Wide Body,Boeing,B789,13,5525000
28,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B773,59,32686000
29,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,1347,189151028
30,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,77,10949246
31,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Passenger,Wide Body,Airbus,A332,9,3584715
32,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A321,5,857600
33,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B772,3,1380312
34,Jazz Aviation,QK,Air Canada,AC,International,Canada,Passenger,Regional Jet,Bombardier,CRJ9,117,8786700
35,SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E175,65,4872205
36,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,5,3260000
37,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,20,3430400
38,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A346,7,3996979
39,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B753,359,80416000
40,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B773,4,2216000
41,Swissport USA,UA,Swissport USA,UA,International,Asia,Freighter,Wide Body,Boeing,A124,1,727500
42,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A333,1,412264
43,China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Airbus,A332,13,5158816
44,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B752,517,102366000
45,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B773,25,13850000
46,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,B744,26,16506000
47,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B737,1,128000
48,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,208,13936000
49,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B777,1,460000
50,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,49,7216181
51,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B772,1,470000
52,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B738,178,25632000
53,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,B773,86,47644000
54,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,E175,12,899484
55,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B789,15,6375000
56,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B772,227,101255000
57,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B764,3,1050000
58,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Passenger,Wide Body,Boeing,B773,30,16620000
59,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,B737,1085,138880000
60,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B738,30,4369500
61,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A388,30,25899894
62,Air India Limited,AI,Air India Limited,AI,International,Asia,Passenger,Wide Body,Boeing,B772,32,15744000
63,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,B744,24,15984000
64,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A346,30,17129910
65,Icelandair EHF,FI,Icelandair EHF,FI,International,Europe,Passenger,Wide Body,Boeing,B763,17,5440000
66,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B772,5,2350000
67,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B753,125,28000000
68,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B752,247,48906000
69,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Airbus,A359,27,12321639
70,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A333,22,8972810
71,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,1,137789
72,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,63,9216900
73,Iberia,IB,Iberia,IB,Domestic,Europe,Passenger,Wide Body,Airbus,A332,12,4761984
74,United Airlines,UA,United Airlines,UA,International,Middle East,Passenger,Wide Body,Boeing,B773,24,13296000
75,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B748,25,19075000
76,China Eastern,MU,China Eastern,MU,Domestic,US,Passenger,Wide Body,Boeing,B773,1,554000
77,Thomas Cook Airlines,MT,Thomas Cook Airlines,MT,International,Europe,Passenger,Wide Body,Airbus,A332,12,4748757
78,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Airbus,A332,12,4814892
79,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,5,710990
80,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,21,2893569
81,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A332,59,23673219
82,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,B789,17,7225000
83,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,B773,30,16620000
84,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B772,75,34500000
85,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B789,9,3825000
86,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B738,85,12281400
87,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A320,5,710990
88,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,B738,171,24624000
89,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,5,42500
90,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Embraer,E170,601,45049157
