,GEO Region,Average Total Landed Weight,Min Total Landed Weight,P25 Total Landed Weight,P50 Total Landed Weight,P75 Total Landed Weight,Max Total Landed Weight
0,Asia,17742866.939735424,319999,7756000.0,14996000.0,19530000.0,117180000
1,Australia / Oceania,10269776.701700155,380000,5040000.0,10340000.0,14579000.0,23310000
2,Canada,5607879.427514793,47000,1336375.0,4023000.0,8828500.0,36157976
3,Caribbean,502959.3333333333,418878,439439.0,460000.0,545000.0,630000
4,Central America,3848933.1687116562,137500,1100000.0,4266000.0,5545800.0,11704000
5,Europe,15193884.194515852,90389,6400000.0,13803000.0,19530000.0,75600000
6,Mexico,4199444.049618321,28000,1152000.0,3657500.0,5853267.0,19363600
7,Middle East,13310294.944785276,380000,7980000.0,16619970.0,17173969.0,26927251
8,South America,4445480.0,363000,4160000.0,4480000.0,5440000.0,5760000
9,US,26061726.924538746,6850,2557800.0,10531800.0,31927425.0,273042000
