,GEO Region,P0.0-10.0,P10.0-20.0,P20.0-30.0,P30.0-40.0,P40.0-50.0,P50.0-60.0,P60.0-70.0,P70.0-80.0,P80.0-90.0
0,Canada,205,208,204,206,204,206,205,206,207
1,Asia,409,410,410,416,420,415,518,414,422
2,Central America,36,35,33,34,44,42,37,37,34
3,Europe,234,233,233,235,237,238,320,250,243
4,US,1086,1088,1084,1084,1084,1084,1084,1084,1085
5,Mexico,158,160,192,160,161,159,159,159,158
6,Australia / Oceania,67,74,73,65,70,67,72,68,73
7,Middle East,17,16,16,16,37,23,66,43,45
8,Caribbean,1,0,0,0,1,1,0,0,0
9,South America,5,17,14,14,18,10,16,10,18
